ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,100,C:\Windows\system32\oobe\windeploy.exe,2010-11-21 03:24:24+00:00,Yes,False,win7_files\SYSTEM
2,95,C:\Windows\system32\mcbuilder.exe,2010-11-21 03:24:26+00:00,Yes,True,win7_files\SYSTEM
1,68,C:\Windows\system32\schtasks.exe,2010-11-21 03:24:26+00:00,Yes,False,win7_files\SYSTEM
2,68,C:\Windows\system32\schtasks.exe,2010-11-21 03:24:26+00:00,Yes,True,win7_files\SYSTEM
1,95,C:\Windows\system32\mcbuilder.exe,2010-11-21 03:24:26+00:00,Yes,False,win7_files\SYSTEM
2,55,C:\Windows\System32\spoolsv.exe,2010-11-21 03:24:27+00:00,Yes,True,win7_files\SYSTEM
1,55,C:\Windows\System32\spoolsv.exe,2010-11-21 03:24:27+00:00,Yes,False,win7_files\SYSTEM
2,94,C:\Windows\system32\runonce.exe,2010-11-21 03:24:27+00:00,Yes,True,win7_files\SYSTEM
1,94,C:\Windows\system32\runonce.exe,2010-11-21 03:24:27+00:00,Yes,False,win7_files\SYSTEM
2,51,C:\Windows\system32\userinit.exe,2010-11-21 03:24:28+00:00,Yes,True,win7_files\SYSTEM
1,51,C:\Windows\system32\userinit.exe,2010-11-21 03:24:28+00:00,Yes,False,win7_files\SYSTEM
1,21,C:\Windows\SysWOW64\acppage.dll,2010-11-21 03:24:32+00:00,No,False,win7_files\SYSTEM
2,25,C:\Windows\SysWOW64\twext.dll,2010-11-21 03:24:32+00:00,No,True,win7_files\SYSTEM
1,25,C:\Windows\SysWOW64\twext.dll,2010-11-21 03:24:32+00:00,No,False,win7_files\SYSTEM
2,21,C:\Windows\SysWOW64\acppage.dll,2010-11-21 03:24:32+00:00,No,True,win7_files\SYSTEM
1,99,C:\Windows\system32\winsat.exe,2010-11-21 03:24:35+00:00,Yes,False,win7_files\SYSTEM
2,99,C:\Windows\system32\winsat.exe,2010-11-21 03:24:35+00:00,Yes,True,win7_files\SYSTEM
1,48,C:\Windows\System32\cscui.dll,2010-11-21 03:24:41+00:00,No,False,win7_files\SYSTEM
2,48,C:\Windows\System32\cscui.dll,2010-11-21 03:24:41+00:00,No,True,win7_files\SYSTEM
2,41,C:\Windows\System32\ieframe.dll,2010-11-21 03:24:42+00:00,No,True,win7_files\SYSTEM
1,41,C:\Windows\System32\ieframe.dll,2010-11-21 03:24:42+00:00,No,False,win7_files\SYSTEM
2,69,C:\Windows\System32\wsqmcons.exe,2010-11-21 03:24:49+00:00,Yes,True,win7_files\SYSTEM
1,69,C:\Windows\System32\wsqmcons.exe,2010-11-21 03:24:49+00:00,Yes,False,win7_files\SYSTEM
2,45,C:\Windows\System32\gameux.dll,2010-11-21 03:24:49+00:00,No,True,win7_files\SYSTEM
1,45,C:\Windows\System32\gameux.dll,2010-11-21 03:24:49+00:00,No,False,win7_files\SYSTEM
2,75,C:\Windows\System32\mobsync.exe,2010-11-21 03:24:51+00:00,Yes,True,win7_files\SYSTEM
2,59,C:\Windows\System32\sbe.dll,2010-11-21 03:24:51+00:00,No,True,win7_files\SYSTEM
2,86,C:\Program Files\Windows Sidebar\sidebar.exe,2010-11-21 03:24:51+00:00,Yes,True,win7_files\SYSTEM
1,6,C:\Windows\System32\syncui.dll,2010-11-21 03:24:51+00:00,No,False,win7_files\SYSTEM
1,59,C:\Windows\System32\sbe.dll,2010-11-21 03:24:51+00:00,No,False,win7_files\SYSTEM
2,6,C:\Windows\System32\syncui.dll,2010-11-21 03:24:51+00:00,No,True,win7_files\SYSTEM
1,86,C:\Program Files\Windows Sidebar\sidebar.exe,2010-11-21 03:24:51+00:00,Yes,False,win7_files\SYSTEM
1,75,C:\Windows\System32\mobsync.exe,2010-11-21 03:24:51+00:00,Yes,False,win7_files\SYSTEM
1,64,C:\Windows\System32\wpdshext.dll,2010-11-21 03:24:52+00:00,No,False,win7_files\SYSTEM
2,60,C:\Windows\System32\mf.dll,2010-11-21 03:24:52+00:00,No,True,win7_files\SYSTEM
1,60,C:\Windows\System32\mf.dll,2010-11-21 03:24:52+00:00,No,False,win7_files\SYSTEM
2,64,C:\Windows\System32\wpdshext.dll,2010-11-21 03:24:52+00:00,No,True,win7_files\SYSTEM
1,82,C:\Windows\System32\sdclt.exe,2010-11-21 03:25:06+00:00,Yes,False,win7_files\SYSTEM
2,82,C:\Windows\System32\sdclt.exe,2010-11-21 03:25:06+00:00,Yes,True,win7_files\SYSTEM
2,15,C:\Windows\system32\WFS.exe,2010-11-21 03:25:07+00:00,No,True,win7_files\SYSTEM
1,15,C:\Windows\system32\WFS.exe,2010-11-21 03:25:07+00:00,No,False,win7_files\SYSTEM
2,92,C:\Windows\SysWOW64\ie4uinit.exe,2010-11-21 03:25:08+00:00,Yes,True,win7_files\SYSTEM
1,65,C:\Windows\System32\mssvp.dll,2010-11-21 03:25:08+00:00,No,False,win7_files\SYSTEM
1,92,C:\Windows\SysWOW64\ie4uinit.exe,2010-11-21 03:25:08+00:00,Yes,False,win7_files\SYSTEM
2,84,C:\Program Files (x86)\Internet Explorer\iexplore.exe,2010-11-21 03:25:08+00:00,No,True,win7_files\SYSTEM
1,84,C:\Program Files (x86)\Internet Explorer\iexplore.exe,2010-11-21 03:25:08+00:00,No,False,win7_files\SYSTEM
2,65,C:\Windows\System32\mssvp.dll,2010-11-21 03:25:08+00:00,No,True,win7_files\SYSTEM
1,22,C:\Windows\SysWOW64\syncui.dll,2010-11-21 03:25:09+00:00,No,False,win7_files\SYSTEM
2,22,C:\Windows\SysWOW64\syncui.dll,2010-11-21 03:25:09+00:00,No,True,win7_files\SYSTEM
2,9,C:\Program Files (x86)\Windows Media Player\wmplayer.exe,2010-11-21 03:25:10+00:00,No,True,win7_files\SYSTEM
1,9,C:\Program Files (x86)\Windows Media Player\wmplayer.exe,2010-11-21 03:25:10+00:00,No,False,win7_files\SYSTEM
1,2,C:\Program Files\Mozilla Firefox\firefox.exe,2023-07-06 23:10:21+00:00,Yes,False,win7_files\SYSTEM
